pakiet,wersja_lub_rewizja_w_root,rola,deklarujący_odbiorcy,decyzja
burn-store,0.21,Inferencja oraz serializacja i konwersja modeli Burn,burn-spike; tentaflow-core,"Pozostaje: backendy mają różne możliwości, wymagania sprzętowe i sposób wdrażania; nie są wymiennymi bibliotekami pomocniczymi."
bytemuck,1,"Bufory, reprezentacja danych i kolekcje",forge-engine; forge-kernels; forge-server; forge-types; forge-whisper; tentaflow-quantum; tentaflow-teams-bot; tentaflow-voxel-wasm,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
bytes,1.12.0,"Bufory, reprezentacja danych i kolekcje",tentaflow-bus; tentaflow-core; tentaflow-hardware,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
calamine,0.35.0,"Odczyt arkuszy, CSV i kodowań znaków",tentaflow-core,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
cbindgen,0.29.4,Granice FFI i generowanie bindingów,tentaflow-client-native,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
cc,1,Granice FFI i generowanie bindingów,forge-rdma,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
cel,0.13.0,Wyrażenia polityk i warunków CEL,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
chacha20poly1305,0.10,Szyfrowanie blokowe lub tryb szyfrowania,tentaflow-sdk-spec,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
chromiumoxide,0.9,Automatyzacja przeglądarki przez protokół DevTools,tentaflow-teams-bot,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
chrono,0.4.45,"Daty, strefy czasowe i identyfikatory",forge-tokenize; tentaflow-cli; tentaflow-core; tentaflow-ui,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
chrono-tz,0.10.4,"Daty, strefy czasowe i identyfikatory",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
ciborium,0.2,Serializacja CBOR,tentaflow-addon-sdk; tentaflow-core; tentaflow-protocol; tentaflow-ui-schema,Pozostaje: CBOR serde w istniejącym protokole oraz jawnie indeksowane mapy minicbor w SDK opisują różne kontrakty wire. Zamiana wymaga migracji protokołu.
clap,4.6.1,"Argumenty CLI, procesy i integracja z systemem",forge-cli; tentaflow; tentaflow-cli; tentaflow-desktop-core; tentaflow-sidecar; tentaflow-teams-bot,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
console_error_panic_hook,0.1.7,Logi aplikacji i platformowe adaptery logowania,tentaflow-protocol-wasm; tentaflow-voxel-wasm,"Pozostaje: log jest fasadą używaną przez część zależności, tracing modeluje zdarzenia i spany, pozostałe pakiety to odbiorniki i adaptery platformowe."
console_log,1,Logi aplikacji i platformowe adaptery logowania,tentaflow-voxel-wasm,"Pozostaje: log jest fasadą używaną przez część zależności, tracing modeluje zdarzenia i spany, pozostałe pakiety to odbiorniki i adaptery platformowe."
core-foundation,0.10,Granice FFI i generowanie bindingów,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
cozo,0.7.6,Baza grafowa i zapytania relacyjne,tentaflow-core,"Pozostaje: fjall jest magazynem klucz–wartość, SQLite lokalną bazą relacyjną, Cozo silnikiem grafowym, Milvus klientem zewnętrznego serwisu."
crc32c,0.6.8,Skróty i sumy kontrolne,tentaflow-bus,"Pozostaje: poszczególne algorytmy są częścią formatów plików, protokołów lub modeli. Jedna nazwa funkcji skrótu nie pozwala zmieniać algorytmu na drucie."
criterion,0.8.2,"Metryki, benchmarki i profilowanie pamięci",tentaflow-bus; tentaflow-core; tentaflow-protocol; tentaflow-sdk-spec; tentaflow-teams-bot; tentaflow-transport; tentaflow-voice,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
crossbeam-channel,0.5,"Środowisko asynchroniczne, strumienie i kanały",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
csv,1.3,"Odczyt arkuszy, CSV i kodowań znaków",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
ctrlc,3.4,"Argumenty CLI, procesy i integracja z systemem",tentaflow-desktop-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
cudarc,0.19.8,Renderowanie GPU i obliczenia CUDA,forge-hal; modular_fp8_launch,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
dashmap,6.2.1,Synchronizacja i pamięci podręczne w procesie,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
data-encoding,2,Kodowanie tekstowe danych binarnych,tentaflow-mobile,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
dhat,0.3,"Metryki, benchmarki i profilowanie pamięci",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
dirs,6.0.0,Mapowanie pamięci i operacje plikowe,tentaflow-core; tentaflow-desktop-core; tentaflow-mobile,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
ecb,0.2.0,Szyfrowanie blokowe lub tryb szyfrowania,tentaflow-hardware,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
ed25519-dalek,2.2.0,Podpisy i wymiana kluczy,tentaflow-cli; tentaflow-core; tentaflow-protocol-wasm; tentaflow-sdk-spec,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
eframe,0.34.2,Interfejs natywny i zasobnik systemowy,tentaflow-desktop-core; tentaflow-ui,Ujednolicono deklaracje wersji. Pozostaje: biblioteki należą do jednego zestawu GUI i mają różne warstwy; ich wersje zostały ujednolicone.
egui,0.34.2,Interfejs natywny i zasobnik systemowy,tentaflow-desktop-core; tentaflow-ui,Ujednolicono deklaracje wersji. Pozostaje: biblioteki należą do jednego zestawu GUI i mają różne warstwy; ich wersje zostały ujednolicone.
egui_extras,0.34.2,Interfejs natywny i zasobnik systemowy,tentaflow-ui,Pozostaje: biblioteki należą do jednego zestawu GUI i mają różne warstwy; ich wersje zostały ujednolicone.
encoding_rs,0.8,"Odczyt arkuszy, CSV i kodowań znaków",tentaflow-wrappers,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
filetime,0.2.29,Mapowanie pamięci i operacje plikowe,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
fjall,3.1.5,Magazyn klucz–wartość,tentaflow-bus; tentaflow-core,"Ujednolicono deklaracje wersji. Pozostaje: fjall jest magazynem klucz–wartość, SQLite lokalną bazą relacyjną, Cozo silnikiem grafowym, Milvus klientem zewnętrznego serwisu."
flate2,1.1.9,Archiwa i kompresja,tentaflow; tentaflow-core,"Ujednolicono deklaracje wersji. Pozostaje: formaty kompresji mają różnych odbiorców; LZ4 jest używany na ścieżce danych, archiwa i Zstandard w zasobach oraz cache."
fs2,0.4,Mapowanie pamięci i operacje plikowe,tentaflow-coding-agent-bridge,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
futures,0.3.32,"Środowisko asynchroniczne, strumienie i kanały",forge-server; tentaflow-core; tentaflow-teams-bot,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
futures-util,0.3,"Środowisko asynchroniczne, strumienie i kanały",tentaflow-sidecar,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
genpdf,0.2,Generowanie PDF i odczyt PDF przez silnik PDFium,tentaflow-core,"Pozostaje: genpdf generuje dokumenty, PDFium renderuje i odczytuje istniejące PDF."
getrandom,0.4.3,"Losowość systemowa, generatory i rozkłady",tentaflow-core; tentaflow-protocol-wasm; tentaflow-sdk-spec; tentaflow-voxel-wasm,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
glam,0.33.1,"Obliczenia tensorowe, algebra liniowa i liczby zespolone",tentaflow-voxel-wasm,"Pozostaje: ndarray, nalgebra, glam i wide mają różne układy danych, API geometrii oraz wektoryzacji. Konsolidacja wymaga zmiany algorytmów i pomiarów."
gltf,1.4,Przetwarzanie obrazów i modeli scen 3D,tentaflow-voxel-wasm,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
gstreamer,0.25.2,Przechwytywanie i pipeline audio-wideo GStreamer,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
gstreamer-app,0.25.2,Przechwytywanie i pipeline audio-wideo GStreamer,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
gstreamer-video,0.25.2,Przechwytywanie i pipeline audio-wideo GStreamer,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
half,2,"Obliczenia tensorowe, algebra liniowa i liczby zespolone",forge-engine; forge-formats; forge-kernels; forge-onnx; forge-types; forge-whisper,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
handlebars,6.4.2,Silniki szablonów,tentaflow-core,Pozostaje: Handlebars generuje dokumenty prawne; Jinja obsługuje szablony modeli i zgodność z ekosystemem Hugging Face.
hex,0.4.3,Kodowanie tekstowe danych binarnych,forge-cli; forge-formats; forge-server; tentaflow-client-native; tentaflow-coding-agent-bridge; tentaflow-core; tentaflow-hardware; tentaflow-mobile; tentaflow-protocol-wasm; tentaflow-sidecar; tentaflow-teams-bot; tentaflow-transport,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
hf-hub,0.5.0,Pobieranie modeli i tokenizacja,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
hkdf,0.13.0,Haszowanie haseł i wyprowadzanie kluczy,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
hmac,0.13.0,Haszowanie haseł i wyprowadzanie kluczy,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
hostname,0.4.2,"Argumenty CLI, procesy i integracja z systemem",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
hound,3.5,"Przetwarzanie audio, kodeki i transformata Fouriera",forge-whisper,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
http-body-util,0.1.3,Serwer HTTP i warstwy transportu HTTP,tentaflow-core,"Pozostaje: to warstwy jednego stosu HTTP, a nie niezależne implementacje tej samej aplikacyjnej funkcji."
hyper,1.10.1,Serwer HTTP i warstwy transportu HTTP,tentaflow-core,"Pozostaje: to warstwy jednego stosu HTTP, a nie niezależne implementacje tej samej aplikacyjnej funkcji."
hyper-util,0.1.20,Serwer HTTP i warstwy transportu HTTP,tentaflow-core,"Pozostaje: to warstwy jednego stosu HTTP, a nie niezależne implementacje tej samej aplikacyjnej funkcji."
image,0.25,Przetwarzanie obrazów i modeli scen 3D,burn-spike; tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
inventory,0.3.24,Makra proceduralne i rejestracja implementacji,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
iroh,1.1.0,"Transport mesh, discovery i serwer relay",tentaflow-client-native; tentaflow-core; tentaflow-sidecar; tentaflow-teams-bot; tentaflow-transport,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
iroh-mainline-address-lookup,0.5.0,"Transport mesh, discovery i serwer relay",tentaflow-core; tentaflow-transport,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
iroh-mdns-address-lookup,0.5.0,"Transport mesh, discovery i serwer relay",tentaflow-core; tentaflow-transport,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
iroh-relay,1.1.0,"Transport mesh, discovery i serwer relay",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
jni,0.21,Granice FFI i generowanie bindingów,tentaflow-mobile,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
js-sys,0.3.102,Przeglądarkowe bindingi JavaScript i Web API,tentaflow-protocol-wasm; tentaflow-quantum; tentaflow-voxel-wasm,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
jsonwebtoken,10.4.0,"TLS, certyfikaty i uwierzytelnianie JWT",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
libc,0.2.189,Granice FFI i generowanie bindingów,tentaflow-bus; tentaflow-coding-agent-bridge; tentaflow-core; tentanas-helper,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
libfuzzer-sys,0.4,"Testy integracyjne, porównania i fuzzing",tentaflow-protocol-fuzz,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
libloading,0.9.0,Granice FFI i generowanie bindingów,tentaflow; tentaflow-core; tentaflow-desktop-macos,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
llama-cpp-sys-2,0.1.146,Natywne silniki mowy i modeli językowych,tentaflow-wrappers,"Pozostaje: backendy mają różne możliwości, wymagania sprzętowe i sposób wdrażania; nie są wymiennymi bibliotekami pomocniczymi."
log,0.4,Logi aplikacji i platformowe adaptery logowania,tentaflow-mobile; tentaflow-voxel-wasm,"Pozostaje: log jest fasadą używaną przez część zależności, tracing modeluje zdarzenia i spany, pozostałe pakiety to odbiorniki i adaptery platformowe."
lru,0.18.0,Synchronizacja i pamięci podręczne w procesie,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
lz4_flex,0.13.1,Archiwa i kompresja,tentaflow-addon-go2; tentaflow-bus; tentaflow-core; tentaflow-protocol-wasm; tentaflow-sdk-spec; tentaflow-slam,"Ujednolicono deklaracje wersji. Pozostaje: formaty kompresji mają różnych odbiorców; LZ4 jest używany na ścieżce danych, archiwa i Zstandard w zasobach oraz cache."
md-5,0.11.0,Skróty i sumy kontrolne,tentaflow-hardware,"Pozostaje: poszczególne algorytmy są częścią formatów plików, protokołów lub modeli. Jedna nazwa funkcji skrótu nie pozwala zmieniać algorytmu na drucie."
memchr,2,"Bufory, reprezentacja danych i kolekcje",tentaflow-hardware,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
memmap2,0.9.11,Mapowanie pamięci i operacje plikowe,forge-formats; tentaflow-bus; tentaflow-core,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
milvus-sdk-rust,cce570b53d540e6a0ad7f9cf2c47c033857152ae,Klient zewnętrznej bazy wektorowej,tentaflow-core,"Pozostaje: fjall jest magazynem klucz–wartość, SQLite lokalną bazą relacyjną, Cozo silnikiem grafowym, Milvus klientem zewnętrznego serwisu."
minicbor,2.2,Serializacja CBOR,tentaflow-addon-contacts; tentaflow-addon-go2; tentaflow-addon-notes; tentaflow-addon-rag; tentaflow-addon-sdk; tentaflow-addon-sdk-showcase; tentaflow-addon-tentavision; tentaflow-core; tentaflow-protocol-wasm; tentaflow-sdk-gen; tentaflow-sdk-spec,Pozostaje: CBOR serde w istniejącym protokole oraz jawnie indeksowane mapy minicbor w SDK opisują różne kontrakty wire. Zamiana wymaga migracji protokołu.
minijinja,2.21,Silniki szablonów,forge-tokenize,Pozostaje: Handlebars generuje dokumenty prawne; Jinja obsługuje szablony modeli i zgodność z ekosystemem Hugging Face.
minijinja-contrib,2.21,Silniki szablonów,forge-tokenize,Pozostaje: Handlebars generuje dokumenty prawne; Jinja obsługuje szablony modeli i zgodność z ekosystemem Hugging Face.
multer,3.1,Serwer HTTP i warstwy transportu HTTP,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
nalgebra,0.35.0,"Obliczenia tensorowe, algebra liniowa i liczby zespolone",tentaflow-slam,"Pozostaje: ndarray, nalgebra, glam i wide mają różne układy danych, API geometrii oraz wektoryzacji. Konsolidacja wymaga zmiany algorytmów i pomiarów."
ndarray,0.17,"Obliczenia tensorowe, algebra liniowa i liczby zespolone",tentaflow-core,"Pozostaje: ndarray, nalgebra, glam i wide mają różne układy danych, API geometrii oraz wektoryzacji. Konsolidacja wymaga zmiany algorytmów i pomiarów."
netdev,0.45.0,"Argumenty CLI, procesy i integracja z systemem",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
num-complex,0.4.6,"Obliczenia tensorowe, algebra liniowa i liczby zespolone",tentaflow-core; tentaflow-quantum,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
num-traits,0.2.19,"Obliczenia tensorowe, algebra liniowa i liczby zespolone",tentaflow-quantum,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
num_cpus,1,Równoległe obliczenia CPU,tentaflow-core,Pozostaje do osobnego pomiaru: available_parallelism uwzględnia affinity i limity systemowe inaczej niż liczba CPU; zmiana wpływa na rozmiary pul.
open,5,"Argumenty CLI, procesy i integracja z systemem",tentaflow-desktop-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
oq3_semantics,0.7.0,Parser i semantyka OpenQASM,tentaflow-quantum,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
oq3_syntax,0.7.0,Parser i semantyka OpenQASM,tentaflow-quantum,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
ort,2.0.0-rc.12,Inferencja ONNX,tentaflow-core,"Pozostaje: backendy mają różne możliwości, wymagania sprzętowe i sposób wdrażania; nie są wymiennymi bibliotekami pomocniczymi."
parking_lot,0.12.5,Synchronizacja i pamięci podręczne w procesie,tentaflow; tentaflow-bus; tentaflow-client-native; tentaflow-coding-agent-bridge; tentaflow-core; tentaflow-teams-bot; tentaflow-transport,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
pdfium-render,0.9.2,Generowanie PDF i odczyt PDF przez silnik PDFium,tentaflow-core,"Pozostaje: genpdf generuje dokumenty, PDFium renderuje i odczytuje istniejące PDF."
pin-project-lite,0.2,Makra proceduralne i rejestracja implementacji,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
plist,1.9.0,"Konfiguracja i dokumenty TOML, YAML, RON lub plist",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
pollster,0.4.0,"Środowisko asynchroniczne, strumienie i kanały",tentaflow-quantum,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
portable-pty,0.9,"Argumenty CLI, procesy i integracja z systemem",tentaflow-coding-agent-bridge,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
predicates,3,"Testy integracyjne, porównania i fuzzing",tentaflow-cli,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
proc-macro2,1.0,Makra proceduralne i rejestracja implementacji,tentaflow-macros,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
prost,0.14.4,Protobuf i generowanie kodeków,tentaflow-voice,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
prost-build,0.14.4,Protobuf i generowanie kodeków,tentaflow-voice,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
protobuf-src,2,Protobuf i generowanie kodeków,tentaflow-voice,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
quick-xml,0.36,XML strumieniowy lub drzewo dokumentu XML,tentaflow-core,"Pozostaje: quick-xml obsługuje strumieniowe czytanie i zapis, roxmltree udostępnia drzewo URDF w przeglądarce."
quote,1.0.46,Makra proceduralne i rejestracja implementacji,tentaflow-macros,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
r2d2,0.8,SQLite i pula połączeń,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
r2d2_sqlite,0.34.0,SQLite i pula połączeń,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
rand,0.10.1,"Losowość systemowa, generatory i rozkłady",tentaflow-cli; tentaflow-core; tentaflow-hardware; tentaflow-quantum,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
rand_distr,0.6.0,"Losowość systemowa, generatory i rozkłady",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
rayon,1.12.0,Równoległe obliczenia CPU,tentaflow-quantum; tentaflow-voice,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
rcgen,0.14.8,"TLS, certyfikaty i uwierzytelnianie JWT",tentaflow-core,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
readability,0.3.0,Ekstrakcja treści stron HTML,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
regex,1.12.4,Wyrażenia regularne i normalizacja tekstu,tentaflow-core; tentaflow-ui-schema,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
reqwest,0.13.3,Klienci HTTP,forge-cli; forge-server; tentaflow; tentaflow-core; tentaflow-sidecar,Ujednolicono deklaracje wersji. Pozostaje: aplikacja korzysta z obu klientów; istniejący synchroniczny kod ureq omija wcześniejszy problem z zagnieżdżonym runtime reqwest. Migracja wymaga osobnych testów asynchroniczności.
ron,0.8,"Konfiguracja i dokumenty TOML, YAML, RON lub plist",forge-formats,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
roxmltree,0.21.1,XML strumieniowy lub drzewo dokumentu XML,tentaflow-voxel-wasm,"Pozostaje: quick-xml obsługuje strumieniowe czytanie i zapis, roxmltree udostępnia drzewo URDF w przeglądarce."
rsa,0.9,Podpisy i wymiana kluczy,tentaflow-hardware,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
rusqlite,0.39.0,SQLite i pula połączeń,tentaflow-addon-notes; tentaflow-core,"Ujednolicono deklaracje wersji. Pozostaje: fjall jest magazynem klucz–wartość, SQLite lokalną bazą relacyjną, Cozo silnikiem grafowym, Milvus klientem zewnętrznego serwisu."
rustc-hash,2.1.2,"Bufory, reprezentacja danych i kolekcje",tentaflow-bus; tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
rustfft,6.2,"Przetwarzanie audio, kodeki i transformata Fouriera",forge-whisper; tentaflow-voice,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
